"","ttext","date","isretweet","retweetcount","favoritecount","score","city","country","duplicate"
"36","Robbo171 It was sent last Wednesday, estimated delivery was Tuesday to Thursday so suppose its only a day overdue.  ","2020-04-24 17:22:44","FALSE","0","0","-1","Delhi NCR","India",FALSE
"37","Amazon will be fined 100,000 for EVERY 'non-essential' delivery in France after court rejects appeal in worker saf  ","2020-04-24 17:22:43","FALSE","0","0","0","Delhi NCR","India",FALSE
"38","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:22:35","TRUE","73","0","-1","Delhi NCR","India",TRUE
"39","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:22:28","TRUE","73","0","-1","Delhi NCR","India",TRUE
"40","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:22:16","TRUE","73","0","-1","Delhi NCR","India",TRUE
"41","Trump (emphatically) says USPS customer service has degraded and losses have increased massively* due to 2013 last-  ","2020-04-24 17:22:14","FALSE","0","0","-1","Delhi NCR","India",FALSE
"42","HereToResist: AhmedBaba_ The stupidest part is that I already see Amazon-branded delivery vans here in L.A.; Jeff will just create Ama","2020-04-24 17:22:10","TRUE","1","0","-1","Delhi NCR","India",FALSE
"43","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:22:10","TRUE","73","0","-1","Delhi NCR","India",TRUE
"44","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:22:07","TRUE","73","0","-1","Delhi NCR","India",TRUE
"45","CBSNews People complaining about the USPS failing yet they do Amazon Delivery, UPS, Fed Ex etc. Stop using your co  ","2020-04-24 17:21:54","FALSE","0","0","-2","Delhi NCR","India",FALSE
"46","S/O to amazon for getting 2 of my packages here before the delivery date ","2020-04-24 17:21:32","FALSE","0","2","0","Delhi NCR","India",FALSE
"47","QuickTake: Cant score a delivery time with FreshDirect or Amazon Fresh? These grocery upstarts want to take your order instead.
Read m","2020-04-24 17:21:21","TRUE","2","0","1","Delhi NCR","India",FALSE
"48","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:21:08","TRUE","73","0","-1","Delhi NCR","India",TRUE
"49"," ","2020-04-24 17:21:06","FALSE","0","1","0","Delhi NCR","India",FALSE
"50","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:20:59","TRUE","73","0","-1","Delhi NCR","India",TRUE
"51","serlindsipity Me too. A week would be miraculously quick for Prime delivery. 2 weeks is what Im usually quoted. T  ","2020-04-24 17:20:59","FALSE","0","1","1","Delhi NCR","India",FALSE
"52"," ","2020-04-24 17:20:43","FALSE","0","0","0","Delhi NCR","India",TRUE
"53","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:20:38","TRUE","73","0","-1","Delhi NCR","India",TRUE
"54"," ","2020-04-24 17:20:23","FALSE","0","0","0","Delhi NCR","India",TRUE
"55","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:20:22","TRUE","73","0","-1","Delhi NCR","India",TRUE
"56","smacktuna: Almost 30 million Americans unemployed and our moronic President is insisting on raising the prices of postal system package","2020-04-24 17:20:20","TRUE","2","0","-2","Delhi NCR","India",TRUE
"57","Deals Discounts

(Buy 3 Get 1 Free)  Pears Soft and Fresh Bathing Bar, 125g

114  ","2020-04-24 17:20:05","FALSE","0","0","3","Delhi NCR","India",FALSE
"58"," ","2020-04-24 17:19:59","FALSE","0","1","0","Delhi NCR","India",TRUE
"59","KeepUSA2020 HouseGOP realDonaldTrump If Amazon have to pay more for delivery service Bezo wont pay it the Ameri  ","2020-04-24 17:19:55","FALSE","0","0","0","Delhi NCR","India",FALSE
"60","CMuellerTweets Instacart Yeah even before the pandemic I had issues with them. Ive found Amazon fresh to be much  ","2020-04-24 17:19:51","FALSE","0","0","0","Delhi NCR","India",FALSE
"61","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:19:50","TRUE","158","0","-1","Delhi NCR","India",TRUE
"62","carolyn_from Idiot doesn't realize that Amazon now has it's own fleet of delivery trucks and is mostly bypassing USPS now.","2020-04-24 17:19:49","FALSE","0","0","-1","Delhi NCR","India",FALSE
"63","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:19:46","TRUE","73","0","-1","Delhi NCR","India",TRUE
"64","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:19:39","TRUE","73","0","-1","Delhi NCR","India",TRUE
"65","teamcombover16 realDonaldTrump Or the money they are losing with ridiculously low contract rates with amazon for  ","2020-04-24 17:19:36","FALSE","0","0","-2","Delhi NCR","India",FALSE
"66","Pulloutfraud They're sold out everytime we try to submit an online cart. Whole Foods, Amazon, Wal-Mart, annnd Safe  ","2020-04-24 17:19:29","FALSE","0","0","1","Delhi NCR","India",FALSE
"67","amnestyusa: We stand in solidarity with amazon workers who are speaking up for their rights. Amazon warehouse and delivery workers ar","2020-04-24 17:19:27","TRUE","5","0","1","Delhi NCR","India",TRUE
"68","amnestyusa: We stand in solidarity with amazon workers who are speaking up for their rights. Amazon warehouse and delivery workers ar","2020-04-24 17:19:18","TRUE","5","0","1","Delhi NCR","India",TRUE
"69","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:19:17","TRUE","73","0","-1","Delhi NCR","India",TRUE
"70","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:19:06","TRUE","73","0","-1","Delhi NCR","India",TRUE
"71","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:18:53","TRUE","73","0","-1","Delhi NCR","India",TRUE
"72","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:18:51","TRUE","73","0","-1","Delhi NCR","India",TRUE
"73","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:18:45","TRUE","73","0","-1","Delhi NCR","India",TRUE
"74","We stand in solidarity with amazon workers who are speaking up for their rights. Amazon warehouse and delivery wo  ","2020-04-24 17:18:42","FALSE","5","6","1","Delhi NCR","India",FALSE
"75","tonymills75: AmazonHelp last time I'm using Amazon after being a regular prime user for years.  Their delivery service is utter crap.","2020-04-24 17:18:28","TRUE","1","0","-1","Delhi NCR","India",FALSE
"76","It's been a week since I signed up to try grocery shopping on Amazon, and they still haven't notified me of any delivery windows :/","2020-04-24 17:18:23","FALSE","0","1","0","Delhi NCR","India",FALSE
"77","Grocery upstarts are racing to exploit the food delivery overload faced by giants like Amazon and Kroger Read  ","2020-04-24 17:18:18","FALSE","0","0","0","Delhi NCR","India",FALSE
"78","Its no wonder Trump filed for bankruptcy 5x. He seriously thinks Amazon would NOT pass on a hike in delivery charg  ","2020-04-24 17:18:17","FALSE","0","0","2","Delhi NCR","India",FALSE
"79","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:18:10","TRUE","158","0","-1","Delhi NCR","India",TRUE
"80","JustinPulitzer realDonaldTrump In fact, we need to make shipping a right just like mail delivery and the postal s  ","2020-04-24 17:18:02","FALSE","0","0","2","Delhi NCR","India",FALSE
"81","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:17:52","TRUE","73","0","-1","Delhi NCR","India",TRUE
"82","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:17:45","TRUE","73","0","-1","Delhi NCR","India",TRUE
"83","Has your amazon delivery guy ever called you to tell you your package is outside?","2020-04-24 17:17:42","FALSE","0","0","0","Delhi NCR","India",FALSE
"84","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:17:38","TRUE","73","0","-1","Delhi NCR","India",TRUE
"85","If Amazon can collect taxes then they can pay for shipping. Of course delivery charges may go up a smidget but, sim  ","2020-04-24 17:17:24","FALSE","0","0","0","Delhi NCR","India",FALSE
"86","So unless the USPS charged Amazon 4x more in delivery cost hell let the post office go bankrupt. Hes jealousy of  ","2020-04-24 17:17:23","FALSE","0","1","-3","Delhi NCR","India",FALSE
"87","PolkBizBeat: Amazon sees more food deliveries after COVID passes,  ","2020-04-24 17:17:01","TRUE","1","0","0","Delhi NCR","India",FALSE
"88","silicavolcanosi: USPS. SUPPORT THEM. Someone has something to gain. Like our leaders. Amazon has a delivery service. STFU.
Greed is kil","2020-04-24 17:16:59","TRUE","1","0","3","Delhi NCR","India",FALSE
"89","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:16:52","TRUE","73","0","-1","Delhi NCR","India",TRUE
"90","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:16:50","TRUE","158","0","-1","Delhi NCR","India",TRUE
"91","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:16:47","TRUE","158","0","-1","Delhi NCR","India",TRUE
"92","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:16:44","TRUE","73","0","-1","Delhi NCR","India",TRUE
"93","LloydLegalist: At Amazon, our delivery vans are constantly running to keep our customers satisfied.  ","2020-04-24 17:16:36","TRUE","160","0","1","Delhi NCR","India",FALSE
"94","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:16:33","TRUE","73","0","-1","Delhi NCR","India",TRUE
"95","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:16:25","TRUE","73","0","-1","Delhi NCR","India",TRUE
"96","khlutito EWErickson Why would they do that? Big business exploits them, but as soon as they raise their prices, t  ","2020-04-24 17:16:25","FALSE","0","0","0","Delhi NCR","India",FALSE
"97","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:16:24","TRUE","158","0","-1","Delhi NCR","India",TRUE
"98","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:58","TRUE","73","0","-1","Delhi NCR","India",TRUE
"99","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:52","TRUE","73","0","-1","Delhi NCR","India",TRUE
"100","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:15:51","TRUE","158","0","-1","Delhi NCR","India",TRUE
"101","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:37","TRUE","73","0","-1","Delhi NCR","India",TRUE
"102","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:32","TRUE","73","0","-1","Delhi NCR","India",TRUE
"103","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:29","TRUE","73","0","-1","Delhi NCR","India",TRUE
"104","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:22","TRUE","73","0","-1","Delhi NCR","India",TRUE
"105","AhmedBaba_ He's a little behind the times. Amazon has their own lousy delivery service now.  I wish they still used USPS &amp; UPS.","2020-04-24 17:15:17","FALSE","0","1","-1","Delhi NCR","India",FALSE
"106","Almost 30 million Americans unemployed and our moronic President is insisting on raising the prices of postal syste  ","2020-04-24 17:15:13","FALSE","2","4","-2","Delhi NCR","India",FALSE
"107","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:15:06","TRUE","73","0","-1","Delhi NCR","India",TRUE
"108","Lucylee61051554: We're looking for our Official Influencer!
What we offer for our Influencers:
New product free trial.
GET the indoor c","2020-04-24 17:14:45","TRUE","2","0","1","Delhi NCR","India",FALSE
"109","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:14:36","TRUE","73","0","-1","Delhi NCR","India",TRUE
"110","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:14:36","TRUE","73","0","-1","Delhi NCR","India",TRUE
"111","_brainorchestra: make sure you tip your USPS / UPS / FEDEX / AMAZON delivery man. even $1 if thats what you can afford. they keeping t","2020-04-24 17:14:29","TRUE","2","0","1","Delhi NCR","India",FALSE
"112","realDonaldTrump Amazon has not exploited the US Postal Service as you keep lying about. If Fact, the Postal Servic  ","2020-04-24 17:14:21","FALSE","0","0","-1","Delhi NCR","India",FALSE
"113","Hey bezos amazon make your own postal service you already got delivery cans","2020-04-24 17:14:13","FALSE","0","1","0","Delhi NCR","India",FALSE
"114","So he will end up screwing over rural residents as Amazon ramps up usage of other delivery services.  In other word  ","2020-04-24 17:14:13","FALSE","0","0","0","Delhi NCR","India",FALSE
"115","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:59","TRUE","73","0","-1","Delhi NCR","India",TRUE
"116","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:57","TRUE","73","0","-1","Delhi NCR","India",TRUE
"117","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:52","TRUE","73","0","-1","Delhi NCR","India",TRUE
"118","Why It's So Hard to Get a Delivery Time From Amazon Fresh and Fresh Direct | Marker  ","2020-04-24 17:13:49","FALSE","0","0","1","Delhi NCR","India",FALSE
"119","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:40","TRUE","73","0","-1","Delhi NCR","India",TRUE
"120","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:39","TRUE","73","0","-1","Delhi NCR","India",TRUE
"121","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:37","TRUE","73","0","-1","Delhi NCR","India",TRUE
"122","AhmedBaba_: Make no mistake about what this is.

Trump is using the coronavirus pandemic as an opportunity to withhold aid in an effort","2020-04-24 17:13:29","TRUE","158","0","-1","Delhi NCR","India",TRUE
"123","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:22","TRUE","73","0","-1","Delhi NCR","India",TRUE
"124","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:13","TRUE","73","0","-1","Delhi NCR","India",TRUE
"125","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:09","TRUE","73","0","-1","Delhi NCR","India",TRUE
"126","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:07","TRUE","73","0","-1","Delhi NCR","India",TRUE
"127","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:13:05","TRUE","73","0","-1","Delhi NCR","India",TRUE
"128","Trump is trashing Amazon yet again. Wants USPS to charge them four or five times what they charge them now for pkg  ","2020-04-24 17:12:55","FALSE","0","0","1","Delhi NCR","India",FALSE
"129","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:12:54","TRUE","73","0","-1","Delhi NCR","India",TRUE
"130",".Amazon Prime, why don't you quit playing games and messing with your Prime delivery times. I can order things on  ","2020-04-24 17:12:35","FALSE","0","0","-1","Delhi NCR","India",FALSE
"131","_brainorchestra: make sure you tip your USPS / UPS / FEDEX / AMAZON delivery man. even $1 if thats what you can afford. they keeping t","2020-04-24 17:12:17","TRUE","2","0","1","Delhi NCR","India",TRUE
"132","hump said Amazon needs to build their own PO, but they couldn't do that. ummm I bet if Amazon wanted their own de  ","2020-04-24 17:12:13","FALSE","0","0","0","Delhi NCR","India",FALSE
"133","Amazon/Whole Foods is F'in with me. Delivery windows keep popping up and then disappear when I confirm payment. Thr  ","2020-04-24 17:12:08","FALSE","0","1","0","Delhi NCR","India",FALSE
"134","amnestypress: ""We stand in solidarity with Amazon workers who are speaking up for their rights. Amazon warehouse and delivery workers a","2020-04-24 17:12:07","TRUE","3","0","1","Delhi NCR","India",FALSE
"135","realDonaldTrump This President is In Charge. On postal service, yes!! US Post Office must Raise parcell delivery f  ","2020-04-24 17:12:06","FALSE","0","0","0","Delhi NCR","India",FALSE
"136","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:58","TRUE","73","0","-1","Delhi NCR","India",TRUE
"137","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:56","TRUE","73","0","-1","Delhi NCR","India",TRUE
"138","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:43","TRUE","73","0","-1","Delhi NCR","India",TRUE
"139","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:41","TRUE","73","0","-1","Delhi NCR","India",TRUE
"140","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:40","TRUE","73","0","-1","Delhi NCR","India",TRUE
"141","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:38","TRUE","73","0","-1","Delhi NCR","India",TRUE
"142","RumanaNazarali Arre shayad aapke waha fruits bhi mil jaye, home delivery ho jayegi 
But yaha pe Nutella Amazon se order karna padta hai","2020-04-24 17:11:32","FALSE","0","0","0","Delhi NCR","India",FALSE
"143","web: Amazons share of eCom:

2016: 31.5%
2017: 33.9%
2018: 35.9%
2019: 37.6%
2020: 38.6%

This number should be trending down, not up.","2020-04-24 17:11:32","TRUE","36","0","0","Delhi NCR","India",FALSE
"144","trump attacking the USPS Amazon do their own delivery. Omg trump must go, if you trump fans haven't figured out yet  ","2020-04-24 17:11:31","FALSE","0","0","4","Delhi NCR","India",FALSE
"145","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:24","TRUE","73","0","-1","Delhi NCR","India",TRUE
"146","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:11:23","TRUE","73","0","-1","Delhi NCR","India",TRUE
"147","Uhm, realDonaldTrump... amazon DOES have their own delivery service. Just sayin.","2020-04-24 17:11:21","FALSE","0","0","0","Delhi NCR","India",FALSE
"148","Amazon will be fined 100,000 for EVERY 'non-essential' delivery in France after court rejects appeal in worker saf  ","2020-04-24 17:11:02","FALSE","0","0","0","Delhi NCR","India",TRUE
"149","USPS. SUPPORT THEM. Someone has something to gain. Like our leaders. Amazon has a delivery service. STFU.
Greed is  ","2020-04-24 17:11:02","FALSE","1","1","3","Delhi NCR","India",FALSE
"150","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:10:54","TRUE","73","0","-1","Delhi NCR","India",TRUE
"151","AhmedBaba_: In the Oval Office, President Trump publicly extorts the USPS.

Trump launched into a rant calling the USPS a joke and th","2020-04-24 17:10:48","TRUE","73","0","-1","Delhi NCR","India",TRUE
